Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 06/26  12:00:00,348892512.872871,348892512.872871,4597200.,16110115.0980149,72652542.3166001 
 06/26  13:00:00,343230653.117728,343230653.117728,4597200.,16110115.0980149,63368893.9649516 
 06/26  14:00:00,302769003.338973,302769003.338973,4597200.,16122240.2816851,57566613.7451715 
 06/26  15:00:00,278965653.622996,278965653.622996,4597200.,16116386.7447409,52924789.5693473 
 06/26  16:00:00,278060361.676213,278060361.676213,4597200.,16111787.5371419,54085245.6133033 
 06/26  17:00:00,259258034.704029,259258034.704029,4597200.,5380630.48047548,48348135.1724704 
 06/26  18:00:00,219403406.19243,219403406.19243,4597200.,5433325.53653023,41385398.9087341 
 06/26  19:00:00,208411349.434811,208411349.434811,4597200.,7020481.74684902,33399901.5013581 
 06/26  20:00:00,200303474.235888,200303474.235888,4597200.,7888098.6698158,33399901.5013581 
 06/26  21:00:00,228706983.352029,228706983.352029,4597200.,7915463.67251136,33399901.5013581 
 06/26  22:00:00,192269849.531936,192269849.531936,4597200.,7915463.67251136,33399901.5013581 
 06/26  23:00:00,143907379.875182,143907379.875182,4597200.,7915463.67251136,33399901.5013581 
 06/26  24:00:00,61036294.1179892,61036294.1179892,4597200.,7915463.67251136,33399901.5013581 
 06/27  01:00:00,61036294.1179892,61036294.1179892,4597200.,7915463.67251136,33399901.5013581 
 06/27  02:00:00,61036294.1179892,61036294.1179892,4597200.,7915463.67251136,33399901.5013581 
 06/27  03:00:00,61036294.1179892,61036294.1179892,4597200.,7915463.67251136,33399901.5013581 
 06/27  04:00:00,61036294.1179892,61036294.1179892,4597200.,7915463.67251136,33399901.5013581 
 06/27  05:00:00,61036294.1179892,61036294.1179892,4597200.,7915463.67251136,33399901.5013581 
 06/27  06:00:00,66178988.9492215,66178988.9492215,4597200.,6763463.43891725,41385398.9087341 
 06/27  07:00:00,227370536.400652,227370536.400652,4597200.,5781302.90048656,41385398.9087341 
 06/27  08:00:00,205261828.629325,205261828.629325,4597200.,5412322.93260804,41385398.9087341 
 06/27  09:00:00,258478069.123279,258478069.123279,4597200.,5370038.36600499,41385398.9087341 
 06/27  10:00:00,261753111.708358,261753111.708358,4597200.,5370038.36600499,41385398.9087341 
 06/27  11:00:00,266655920.654089,266655920.654089,4597200.,5370038.36600499,41385398.9087341 
 06/27  12:00:00,274416248.780049,274416248.780049,4597200.,5370038.36600499,41385398.9087341 
 06/27  13:00:00,261001223.393545,261001223.393545,4597200.,5370038.36600499,41385398.9087341 
 06/27  14:00:00,269564083.285315,269564083.285315,4597200.,5370038.36600499,41385398.9087341 
 06/27  15:00:00,273245188.95829,273245188.95829,4597200.,5370038.36600499,41385398.9087341 
 06/27  16:00:00,250309461.136334,250309461.136334,4597200.,5370038.36600499,41385398.9087341 
 06/27  17:00:00,265579301.981984,265579301.981984,4597200.,5370595.84571396,41385398.9087341 
 06/27  18:00:00,264639693.213095,264639693.213095,4597200.,6287091.50287179,33399901.5013581 
 06/27  19:00:00,219858711.035728,219858711.035728,4597200.,6768453.45854372,33399901.5013581 
 06/27  20:00:00,222206929.179883,222206929.179883,4597200.,7871185.58882631,33399901.5013581 
 06/27  21:00:00,237395153.098384,237395153.098384,4597200.,7915463.67251136,33399901.5013581 
 06/27  22:00:00,220960337.488198,220960337.488198,4597200.,7915463.67251136,33399901.5013581 
 06/27  23:00:00,119989895.990594,119989895.990594,4597200.,7915463.67251136,33399901.5013581 
 06/27  24:00:00,61036294.1179892,61036294.1179892,4597200.,7915463.67251136,33399901.5013581 
