Date/Time,PERIMETER_TOP_ZN_3:Zone Outdoor Air Drybulb Temperature [C](Each Call),PERIMETER_TOP_ZN_3:Zone Mean Air Temperature [C](Each Call),CUSTOM_ZONE_CLGT_SETPOINT:Schedule Value [](Each Call),PERIMETER_TOP_ZN_3 VAV BOX OUTLET NODE:System Node Temperature [C](Each Call),PERIMETER_TOP_ZN_3 VAV BOX OUTLET NODE:System Node Mass Flow Rate [kg/s](Each Call) 
 01/21  00:01:00,8.64932348607993,15.509865147069,30.,14.7215975084036,0.0 
 01/21  00:02:00,8.64932348607993,15.372592329147,30.,14.6750386705585,0.0 
 01/21  00:03:00,8.64932348607993,15.23189010255,30.,14.6014253880205,0.0 
 01/21  00:04:00,8.64932348607993,15.1061641678574,30.,14.5243125236923,0.0 
 01/21  00:05:00,8.64932348607993,15.5478344690692,30.,20.2249683786815,2.61361481285024 
 01/21  00:06:00,8.64932348607993,15.5945517389456,30.,14.3081400871546,2.61361481285024 
 01/21  00:07:00,8.64932348607993,15.5994335249974,30.,16.8257853204258,2.61361481285024 
 01/21  00:08:00,8.64932348607993,15.5999545183857,30.,16.4263907317403,2.61361481285024 
 01/21  00:09:00,8.64932348607993,15.6000100942514,30.,16.3828988982222,2.61361481285024 
 01/21  00:10:00,8.64932348607993,15.6000175205606,30.,16.3779539670305,2.61361481285024 
 01/21  00:11:00,8.64932348607993,15.6000182817585,30.,16.3770799307747,2.61361481285024 
 01/21  00:12:00,8.64932348607993,15.6000177914633,30.,16.3767421222007,2.61361481285024 
 01/21  00:13:00,8.64932348607993,15.6000169708132,30.,16.376514176061,2.61361481285024 
 01/21  00:14:00,8.64932348607993,15.60001607002,30.,16.3762368714646,2.61361481285024 
 01/21  00:15:00,8.64932348607993,15.6000151802014,30.,16.375964779628,2.61361481285024 
 01/21  00:16:00,8.64932348607993,15.6000143401526,30.,16.3757058423596,2.61361481285024 
 01/21  00:17:00,8.64932348607993,15.6000135688325,30.,16.3754486327192,2.61361481285024 
 01/21  00:18:00,8.64932348607993,15.6000128753698,30.,16.3751924799074,2.61361481285024 
 01/21  00:19:00,8.64932348607993,15.6000122621674,30.,16.374937609583,2.61361481285024 
 01/21  00:20:00,8.64932348607993,15.6000117265779,30.,16.3746820570061,2.61361481285024 
 01/21  00:21:00,8.64932348607993,15.6000112627315,30.,16.3744277818928,2.61361481285024 
 01/21  00:22:00,8.64932348607993,15.6000108630179,30.,16.3741763552166,2.61361481285024 
 01/21  00:23:00,8.64932348607993,15.6000105192795,30.,16.3739282907968,2.61361481285024 
 01/21  00:24:00,8.64932348607993,15.6000102236035,30.,16.3736840549972,2.61361481285024 
 01/21  00:25:00,8.64932348607993,15.6000099687385,30.,16.3734439549475,2.61361481285024 
 01/21  00:26:00,8.64932348607993,15.6000097482214,30.,16.3732072489266,2.61361481285024 
 01/21  00:27:00,8.64932348607993,15.6000095567186,30.,16.3730039578753,2.61361481285024 
 01/21  00:28:00,8.64932348607993,15.6000093884624,30.,16.3727964997265,2.61361481285024 
 01/21  00:29:00,8.64932348607993,15.6000092391165,30.,16.3725842926707,2.61361481285024 
 01/21  00:30:00,8.64932348607993,15.6000091057497,30.,16.372375381276,2.61361481285024 
 01/21  00:31:00,8.64932348607993,15.6000089861539,30.,16.3721710003038,2.61361481285024 
 01/21  00:32:00,8.64932348607993,15.6000088784372,30.,16.3719715089528,2.61361481285024 
 01/21  00:33:00,8.64932348607993,15.6000087809373,30.,16.371776570946,2.61361481285024 
 01/21  00:34:00,8.64932348607993,15.6000086921874,30.,16.3715859063898,2.61361481285024 
 01/21  00:35:00,8.64932348607993,15.5100995969914,30.,14.7369217657382,0.0 
 01/21  00:36:00,8.64932348607993,15.3731755329509,30.,14.6893542951486,0.0 
 01/21  00:37:00,8.64932348607993,15.2328120036205,30.,14.6153901277516,0.0 
 01/21  00:38:00,8.64932348607993,15.1073407481607,30.,14.5381271754497,0.0 
 01/21  00:39:00,8.64932348607993,15.547954369604,30.,20.2147108426248,2.61361481285024 
 01/21  00:40:00,8.64932348607993,15.5945634850763,30.,14.3121315281783,2.61361481285024 
 01/21  00:41:00,8.64932348607993,15.5994332375452,30.,16.8242193297478,2.61361481285024 
 01/21  00:42:00,8.64932348607993,15.5999532828247,30.,16.4262066258594,2.61361481285024 
