Date/Time,PERIMETER_TOP_ZN_3:Zone Outdoor Air Drybulb Temperature [C](Each Call),PERIMETER_TOP_ZN_3:Zone Mean Air Temperature [C](Each Call),CUSTOM_ZONE_CLGT_SETPOINT:Schedule Value [](Each Call),PERIMETER_TOP_ZN_3 VAV BOX OUTLET NODE:System Node Temperature [C](Each Call),PERIMETER_TOP_ZN_3 VAV BOX OUTLET NODE:System Node Mass Flow Rate [kg/s](Each Call) 
 01/21  00:05:00,,,,35.6591276332249,0.241964152852291 
 01/21  00:10:00,,,,17.0043699581608,0.241964152852291 
 01/21  00:15:00,8.64932348607993,15.5857651132838,30.,24.9603455031214,0.241964152852291 
 01/21  00:30:00,8.64932348607993,15.6000067900925,30.,22.3432377679303,0.241964152852291 
 01/21  00:33:45,,,,14.0297028266466,0.0 
 01/21  00:37:30,,,,13.8878419077721,0.0 
 01/21  00:41:15,,,,13.7278500846487,0.0 
 01/21  00:45:00,8.64932348607993,14.6836503105519,30.,13.5802624784688,0.0 
 01/21  00:50:00,,,,35.7083523776297,0.241964152852291 
 01/21  00:55:00,,,,16.993050222606,0.241964152852291 
 01/21  01:00:00,8.64932348607993,15.5857112053518,30.,24.9743082345868,0.241964152852291 
 01/21  01:15:00,8.64932348607993,15.6000041112909,30.,22.370655747406,0.241964152852291 
 01/21  01:18:45,,,,14.0273455452126,0.0 
 01/21  01:22:30,,,,13.8853479593231,0.0 
 01/21  01:26:15,,,,13.7252620643308,0.0 
 01/21  01:30:00,8.64932348607993,14.6809216631364,30.,13.5775940178839,0.0 
 01/21  01:35:00,,,,35.7530216756429,0.241964152852291 
 01/21  01:40:00,,,,16.9822157336419,0.241964152852291 
 01/21  01:45:00,8.64932348607993,15.5856619311585,30.,24.9866489058818,0.241964152852291 
 01/21  02:00:00,8.64932348607993,15.6000020726351,30.,22.3959354977268,0.241964152852291 
 01/21  02:03:45,,,,14.0252179980688,0.0 
 01/21  02:07:30,,,,13.8830972215667,0.0 
 01/21  02:11:15,,,,13.7229237191984,0.0 
 01/21  02:15:00,8.64932348607993,14.6784081625447,30.,13.5751813399843,0.0 
 01/21  02:20:00,,,,35.7938236419021,0.241964152852291 
 01/21  02:25:00,,,,16.9718976170585,0.241964152852291 
 01/21  02:30:00,8.64932348607993,15.5856166513657,30.,24.9976736387141,0.241964152852291 
 01/21  02:45:00,8.64932348607993,15.6000005007587,30.,22.4193039803915,0.241964152852291 
 01/21  02:48:45,,,,14.0232751055003,0.0 
 01/21  02:52:30,,,,13.8810419279235,0.0 
 01/21  02:56:15,,,,13.7207866421184,0.0 
 01/21  03:00:00,8.64932348607993,14.676086445741,30.,13.5729752366785,0.0 
 01/21  03:05:00,,,,35.8312555987912,0.241964152852291 
 01/21  03:10:00,,,,16.9621164534245,0.241964152852291 
 01/21  03:15:00,8.64932348607993,15.5855749013024,30.,25.007602403478,0.241964152852291 
 01/21  03:30:00,8.64932348607993,15.5999992724064,30.,22.4409425145429,0.241964152852291 
 01/21  03:33:45,,,,14.0214866288501,0.0 
 01/21  03:37:30,,,,13.879150033738,0.0 
