Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 01/21  01:00:00,111486783.519441,111486783.519441,11589549.5399434,0.0,0.0 
 01/21  02:00:00,105298151.45948,105298151.45948,10972690.8287153,0.0,0.0 
 01/21  03:00:00,78927524.2021499,78927524.2021499,9079036.30524965,0.0,0.0 
 01/21  04:00:00,111964482.863182,111964482.863182,11666826.3831204,0.0,0.0 
 01/21  05:00:00,105715601.98526,105715601.98526,11040270.5331601,0.0,0.0 
 01/21  06:00:00,79181017.0028898,79181017.0028898,9121697.66838075,0.0,0.0 
 01/21  07:00:00,188157683.943101,188157683.943101,12006621.1621701,0.0,0.0 
 01/21  08:00:00,154328917.428364,154328917.428364,10091910.6893602,0.0,0.0 
 01/21  09:00:00,152435624.143938,152435624.143938,10073785.0209912,0.0,0.0 
 01/21  10:00:00,151358254.887193,151358254.887193,10058452.4919092,0.0,0.0 
 01/21  11:00:00,150911202.302855,150911202.302855,10043371.72571,0.0,0.0 
 01/21  12:00:00,150430948.56331,150430948.56331,10029318.9315426,0.0,0.0 
 01/21  13:00:00,150247951.712456,150247951.712456,10015652.8835841,0.0,0.0 
 01/21  14:00:00,150138162.369377,150138162.369377,10002698.4744191,0.0,0.0 
 01/21  15:00:00,150152345.544266,150152345.544266,14081962.2529416,0.0,0.0 
 01/21  16:00:00,150136686.79412,150136686.79412,9979505.86827572,0.0,0.0 
 01/21  17:00:00,149968505.124275,149968505.124275,14035237.028975,0.0,0.0 
 01/21  18:00:00,157409717.394084,157409717.394084,9959315.95276305,0.0,0.0 
 01/21  19:00:00,116019188.957341,116019188.957341,10211442.7129349,0.0,0.0 
 01/21  20:00:00,117441725.36021,117441725.36021,10737317.4279137,0.0,0.0 
 01/21  21:00:00,88341687.9978986,88341687.9978986,9079408.51091353,0.0,0.0 
 01/21  22:00:00,121117950.023672,121117950.023672,11512959.9390979,0.0,0.0 
 01/21  23:00:00,115049399.001512,115049399.001512,10888172.7188421,0.0,0.0 
 01/21  24:00:00,88905429.1875703,88905429.1875703,9025085.52022605,0.0,0.0 
 07/21  01:00:00,528423372.456483,528423372.456483,4597200.,158309273.450227,224813060.552967 
 07/21  02:00:00,528902173.137558,528902173.137558,4597200.,158309273.450227,224813060.552967 
 07/21  03:00:00,508045199.27038,508045199.27038,4597200.,158309273.450227,224813060.552967 
 07/21  04:00:00,531106083.553805,531106083.553805,4597200.,158309273.450227,224813060.552967 
 07/21  05:00:00,547493422.88206,547493422.88206,4597200.,158309273.450227,224813060.552967 
 07/21  06:00:00,518747623.435266,518747623.435266,4597200.,157132290.901714,224813060.552967 
 07/21  07:00:00,693026645.625041,693026645.625041,4597200.,130547525.051546,224813060.552967 
 07/21  08:00:00,782734815.475383,782734815.475383,4597200.,125116957.414271,224813060.552967 
 07/21  09:00:00,761960677.418473,761960677.418473,4597200.,124547812.705664,224813060.552967 
 07/21  10:00:00,772379561.049955,772379561.049955,4597200.,124547812.705664,224813060.552967 
 07/21  11:00:00,784724071.347306,784724071.347306,4597200.,124547812.705664,224813060.552967 
 07/21  12:00:00,787977379.740898,787977379.740898,17573837.2350754,124547812.705664,224813060.552967 
 07/21  13:00:00,790827484.375704,790827484.375704,17603883.8234206,124547812.705664,224813060.552967 
 07/21  14:00:00,808005322.622344,808005322.622344,13766133.5921973,124547812.705664,224813060.552967 
 07/21  15:00:00,841651444.333148,841651444.333148,13165883.1492856,124547812.705664,224813060.552967 
 07/21  16:00:00,854094607.078214,854094607.078214,12999045.224296,124547812.705664,224813060.552967 
 07/21  17:00:00,831082878.545158,831082878.545158,13205805.7430795,124547812.705664,224813060.552967 
 07/21  18:00:00,788381050.686825,788381050.686825,8735768.90379224,125492201.447479,224813060.552967 
 07/21  19:00:00,748142461.829361,748142461.829361,8690733.61917438,140309001.304991,224813060.552967 
 07/21  20:00:00,755594065.114885,755594065.114885,4597200.,158309273.450227,224813060.552967 
 07/21  21:00:00,737148872.330239,737148872.330239,4597200.,158309273.450227,224813060.552967 
 07/21  22:00:00,723360416.782659,723360416.782659,4597200.,158309273.450227,224813060.552967 
 07/21  23:00:00,530058329.41638,530058329.41638,4597200.,158309273.450227,224813060.552967 
