Date/Time,Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),ElectricityNet:Facility [J](Hourly),Electricity:HVAC [J](Hourly),Gas:Facility [J](Hourly),Electricity:Facility [J](Monthly),Gas:Facility [J](Monthly),CO2:Facility [kg](Monthly),CO:Facility [kg](Monthly),CH4:Facility [kg](Monthly),NOx:Facility [kg](Monthly),N2O:Facility [kg](Monthly),SO2:Facility [kg](Monthly),PM:Facility [kg](Monthly),PM10:Facility [kg](Monthly),PM2.5:Facility [kg](Monthly),NH3:Facility [kg](Monthly),NMVOC:Facility [kg](Monthly),Hg:Facility [kg](Monthly),Pb:Facility [kg](Monthly),WaterEnvironmentalFactors:Facility [L](Monthly),Nuclear High:Facility [kg](Monthly),Nuclear Low:Facility [m3](Monthly),Carbon Equivalent:Facility [kg](Monthly) 
 01/21  01:00:00,443906626.1827339,0.0,443906626.1827339,178260642.65773223,3235812944.099864 
 01/21  02:00:00,443947447.4787792,0.0,443947447.4787792,178260642.65773223,3236194866.213026 
 01/21  03:00:00,443988974.36023047,0.0,443988974.3602304,178260642.65773223,3244313895.0277249 
 01/21  04:00:00,444030754.37971809,0.0,444030754.37971809,178260642.65773223,3236725894.438534 
 01/21  05:00:00,444072473.92032286,0.0,444072473.9203229,178260642.65773223,3244706690.720724 
 01/21  06:00:00,444122514.76494637,0.0,444122514.76494637,178260642.65773223,3244704096.9865629 
 01/21  07:00:00,460906927.0196542,0.0,460906927.0196542,181500335.21398584,3160865596.2592155 
 01/21  08:00:00,366315855.04940107,138666389.5872,366315855.04940107,181500335.21398584,6500322523.105209 
 01/21  09:00:00,346592473.2645438,121333090.8888,346592473.26454368,181500335.21398584,6512837763.358179 
 01/21  10:00:00,407269374.5010911,181999636.3332,407269374.5010911,181500335.21398584,6516770648.848387 
 01/21  11:00:00,381234185.59160378,155999688.28559999,381234185.5916037,181500335.21398584,6502727241.852711 
 01/21  12:00:00,441091418.56764039,216666233.72999997,441091418.5676403,181500335.21398584,6457788555.509938 
 01/21  13:00:00,406472256.0921681,181999636.3332,406472256.0921681,181500335.21398584,6464636729.949469 
 01/21  14:00:00,337794476.7397237,112666441.53959999,337794476.73972377,181500335.21398584,6498889991.985914 
 01/21  15:00:00,294507761.6927959,69333194.7936,294507761.6927958,181500335.21398584,6495191457.549944 
 01/21  16:00:00,259907804.943996,34666597.3968,259907804.94399599,181500335.21398584,6502488402.313883 
 01/21  17:00:00,268590521.4449986,43333246.74600001,268590521.4449986,181500335.21398584,6504631133.206117 
 01/21  18:00:00,279633669.906423,51999896.09519999,279633669.9064229,181500335.21398584,6487984452.293751 
 01/21  19:00:00,455331464.1213232,0.0,455331464.1213232,178260642.65773223,3309906595.154392 
 01/21  20:00:00,448736796.51793757,0.0,448736796.51793757,178260642.65773223,3262397129.9760868 
 01/21  21:00:00,446219870.4721699,0.0,446219870.4721699,178260642.65773223,3254098501.7446148 
 01/21  22:00:00,444373334.0393487,0.0,444373334.0393488,178260642.65773223,3248880280.0528695 
 01/21  23:00:00,443850484.27649608,0.0,443850484.276496,178260642.65773223,3247861278.0899755 
 01/21  24:00:00,443884394.34536108,0.0,443884394.345361,178260642.65773223,3240649293.2582309,9596781859.673405,113611385961.99535,9198.373570070355,5.671272628440877,7.29114347466768,11.344936229091175,0.19747103388917318,17.995623492746437,0.0,0.5747529121432841,0.0,0.0,0.39431692451087999,0.00006672711674847981,0.00029079782527163226,4135.786884404671,0.0,0.0,2570.072911878713 
 07/21  01:00:00,3039365697.836437,3024964957.6799995,3039365697.8364369,0.0,7883423.594040038 
 07/21  02:00:00,3358759490.632999,3024964957.6799995,3358759490.6329996,23134644.570022547,7884024.259640727 
 07/21  03:00:00,3359984601.202697,3024964957.6799995,3359984601.2026965,23134644.570022547,7884014.5474255899 
 07/21  04:00:00,3780023967.436896,3024964957.6799995,3780023967.4368956,48328447.13691494,7884002.926704269 
 07/21  05:00:00,3458348562.685775,3024964957.6799995,3458348562.685775,25193802.566892394,7883991.361226666 
 07/21  06:00:00,3687069135.957921,3024964957.6799995,3687069135.95792,48328447.13691494,15714743.602524948 
 07/21  07:00:00,7417856145.176801,3024964957.6799995,7417856145.176799,1124875613.6890124,8170830.015292326 
 07/21  08:00:00,6334235401.581813,3328297684.9020016,6334235401.581813,566918627.3111929,31486911.58635079 
 07/21  09:00:00,6289045657.053102,3622963762.7748014,6289045657.053102,573344309.7162151,55401457.299118448 
 07/21  10:00:00,5997011658.659029,3397630879.6956017,5997011658.659029,514273767.30438688,55463879.62882069 
 07/21  11:00:00,5957689044.656461,3345630983.600401,5957689044.656461,489496521.3192679,63411131.66530845 
 07/21  12:00:00,6000047825.4007019,3397630879.6956017,6000047825.4007019,472579548.3409038,71552803.00652886 
 07/21  13:00:00,6103540631.776329,3527630619.9336006,6103540631.776329,462988009.06783428,87792363.83703013 
 07/21  14:00:00,6037965178.466928,3440964126.4416,6037965178.466928,463576097.8662715,79725407.67737821 
 07/21  15:00:00,5947568107.702919,3345630983.600401,5947568107.702918,460804440.7531167,55378158.25992663 
 07/21  16:00:00,5940876018.700511,3345630983.600401,5940876018.70051,464777996.63337817,47451301.22177635 
 07/21  17:00:00,6033015980.641814,3423630827.7432005,6033015980.641814,481362565.1537515,71472051.64567101 
 07/21  18:00:00,6159358364.638615,3562297217.330401,6159358364.638613,491894758.3712876,39448913.42445427 
 07/21  19:00:00,5471184064.949906,3128964749.8703997,5471184064.949906,373541124.49882069,31509573.706254636 
